Mach, CD_Power_Off
6.24, 0.196116858453662
6.25, 0.195939666233532
6.26, 0.195762810490003
6.27, 0.195586280169442
6.28, 0.195410083824148
6.29, 0.195234210312321
6.30, 0.195058668298031
6.31, 0.194883436307867
6.32, 0.194708533704979
6.33, 0.194533957629003
6.34, 0.19435968946346
6.35, 0.194185746562597
6.36, 0.194012127866803
6.37, 0.193838811941737
6.38, 0.193665817975387
6.39, 0.193493144506758
6.40, 0.193320770631947
6.41, 0.193148714804125
6.42, 0.192976965992559
6.43, 0.192805532900789
6.44, 0.192634394740857
6.45, 0.192463579993825
6.46, 0.192293057879586
6.47, 0.192122836892941
6.48, 0.191952925700724
6.49, 0.191783313734442
6.50, 0.19161399825323
6.51, 0.191444990908237
6.52, 0.191276269071989
6.53, 0.191107861337572
6.54, 0.190939737355444
6.55, 0.190771905373952
6.56, 0.1906043746263
6.57, 0.190437123923981
6.58, 0.190270182183562
6.59, 0.190103518204052
6.60, 0.189937141036075
6.61, 0.189771059611257
6.62, 0.189605262966193
6.63, 0.189439739622559
6.64, 0.189274519167224
6.65, 0.189109569693966
6.66, 0.188944900916567
6.67, 0.18878052020372
6.68, 0.18861641926832
6.69, 0.188452595175492
6.70, 0.188289047650203
6.71, 0.18812577524158
6.72, 0.187962777050362
6.73, 0.18780006206613
6.74, 0.187637619070551
6.75, 0.187475437376401
6.76, 0.187313535887199
6.77, 0.187151903711062
6.78, 0.18699053945065
6.79, 0.186829452434504
6.80, 0.186668621684391
6.81, 0.186508056018439
6.82, 0.186347764676794
6.83, 0.186187726694662
6.84, 0.186027959649404
6.85, 0.185868455304589
6.86, 0.185709211252657
6.87, 0.185550216641971
6.88, 0.185391490435346
6.89, 0.185233021894251
6.90, 0.185074809781828
6.91, 0.184916853471958
6.92, 0.184759161938945
6.93, 0.184601704060481
6.94, 0.184444519221345
6.95, 0.184287576308475
6.96, 0.184130884313898
6.97, 0.183974452633118
6.98, 0.183818260165516
6.99, 0.183662315917235
7.00, 0.18351609326111
7.01, 0.183389768382941
7.02, 0.183263837126521
7.03, 0.183138305243546
7.04, 0.183013152719219
7.05, 0.182888397820833
7.06, 0.182764017368023
7.07, 0.182640022415553
7.08, 0.182516419028843
7.09, 0.182393187315583
7.10, 0.182270334203851
7.11, 0.182147868744777
7.12, 0.182025770203276
7.13, 0.181904045317288
7.14, 0.181782694316432
7.15, 0.181661714245136
7.16, 0.181541104273534
7.17, 0.181420863388142
7.18, 0.181300999798993
7.19, 0.181181480189094
7.20, 0.181062336142797
7.21, 0.180943553480762
7.22, 0.180825132366574
7.23, 0.180707060925942
7.24, 0.180589357118732
7.25, 0.180472000332809
7.26, 0.180355009492235
7.27, 0.180238361678969
7.28, 0.180122066106823
7.29, 0.180006120756006
7.30, 0.179890536004873
7.31, 0.179775278747378
7.32, 0.179660378411309
7.33, 0.179545822792784
7.34, 0.17943161236259
7.35, 0.179317733090814
7.36, 0.179204205097306
7.37, 0.179091007628407
7.38, 0.178978147798468
7.39, 0.17886562583889
7.40, 0.1787534389454
7.41, 0.178641587105158
7.42, 0.178530067620006
7.43, 0.178418869754731
7.44, 0.178308002503618
7.45, 0.178197475412684
7.46, 0.178087264115637
7.47, 0.177977381431978
7.48, 0.177867811846768
7.49, 0.177758577228937
7.50, 0.177649665438823
7.51, 0.177541064882729
7.52, 0.1774327845842
7.53, 0.177324822854858
7.54, 0.177217168825381
7.55, 0.177109840912655
7.56, 0.177002828154425
7.57, 0.176896108872784
7.58, 0.176789722379766
7.59, 0.176683637656739
7.60, 0.176577853367651
7.61, 0.176472388500316
7.62, 0.176367219968109
7.63, 0.176262359776426
7.64, 0.176157803422591
7.65, 0.176053551760998
7.66, 0.175949593763694
7.67, 0.175845936558699
7.68, 0.17574258087069
7.69, 0.175639525655471
7.70, 0.175536767119023
7.71, 0.175434296823529
7.72, 0.175332122904832
7.73, 0.175230242468799
7.74, 0.17512865712574
7.75, 0.175027353826356
7.76, 0.174926343251605
7.77, 0.174825622497387
7.78, 0.174725190793331
7.79, 0.174625037453647
7.80, 0.17452518211259
7.81, 0.174425601578624
7.82, 0.174326297702573
7.83, 0.174227286243098
7.84, 0.174128547899551
7.85, 0.174030092004723
7.86, 0.173931916595053
7.87, 0.173834010264597
7.88, 0.173736383211233
7.89, 0.173639033933425
7.90, 0.17354196052304
7.91, 0.173445152538908
7.92, 0.173348619234824
7.93, 0.173252359017941
7.94, 0.173156360895699
7.95, 0.17306064484037
7.96, 0.172965179964819
7.97, 0.172869993277645
7.98, 0.172775064301924
7.99, 0.172680403919802
8.00, 0.172586008695246
8.01, 0.17249186961493
8.02, 0.17239799470545
8.03, 0.172304383650904
8.04, 0.172211034483485
8.05, 0.172117936891352
8.06, 0.172025100068241
8.07, 0.171932512450331
8.08, 0.171840193143018
8.09, 0.171748122277411
8.10, 0.171656297467961
8.11, 0.171564728462776
8.12, 0.171473423653354
8.13, 0.171382353562238
8.14, 0.17129153639463
8.15, 0.171200970458013
8.16, 0.171110656662155
8.17, 0.171020581873628
8.18, 0.170930756332118
8.19, 0.170841170669893
8.20, 0.170751840789932
8.21, 0.170662747911776
8.22, 0.170573890542346
8.23, 0.170485279033835
8.24, 0.170396910457789
8.25, 0.170308784399928
8.26, 0.170220891785112
8.27, 0.170133239228728
8.28, 0.170045817940227
8.29, 0.169958635876943
8.30, 0.169871691379313
8.31, 0.169784976735441
8.32, 0.169698497222181
8.33, 0.169612244152713
8.34, 0.169526236654305
8.35, 0.169440444333847
8.36, 0.169354894288296
8.37, 0.16926956755819
8.38, 0.169184463281712
8.39, 0.169099598661943
8.40, 0.169014945627983
8.41, 0.168930531386943
8.42, 0.168846335259934
8.43, 0.168762368395659
8.44, 0.168678617736306
8.45, 0.168595092340629
8.46, 0.168511783898577
